"mean","lower","upper","coeff","id"
0.193916480895733,0.180491404704628,0.207719154751181,"b","blanca"
0.240832977631304,0.216488914759805,0.267263417506537,"b","emanuel"
0.228771079473962,0.207319496695401,0.249878494330973,"b","gala"
0.224318291614053,0.206010422489897,0.243093405375741,"b","mafalda"
0.185315790352713,0.170329927816722,0.201106534654575,"b","mazeboti"
0.319416588602917,0.211686771034369,0.44157376111709,"b","sara"
0.232892571301006,0.208216288801516,0.259876848194825,"b","tex"
-2.15110320638299,-2.20250085593526,-2.10185578854749,"int","blanca"
-2.61805104060769,-2.67842402955631,-2.55718495504899,"int","emanuel"
-2.72578482602668,-2.79107818326197,-2.66118403678204,"int","gala"
-2.23184014648462,-2.28437242042924,-2.18201971061622,"int","mafalda"
-2.13680852132448,-2.19427819243074,-2.07972996148242,"int","mazeboti"
-2.89684243745583,-3.15528135839403,-2.62567386027396,"int","sara"
-2.80412332363825,-2.86595923642128,-2.73940472304442,"int","tex"
-0.131256626227782,-0.179193194686164,-0.0837364966613732,"evi","blanca"
-0.0412944359945138,-0.0914885860204831,0.0134693462972092,"evi","emanuel"
-0.131011968956569,-0.192112559813106,-0.0706014334315863,"evi","gala"
-0.0708407730157015,-0.126069330284458,-0.0136638528392333,"evi","mafalda"
-0.106017683608996,-0.14483696702515,-0.067945998487879,"evi","mazeboti"
-0.0676511658182438,-0.209975727399402,0.0959226499909828,"evi","sara"
-0.0802381851435502,-0.134857985364211,-0.021741000889518,"evi","tex"
