"id","coef","se.coef","lower","upper","coef.names"
"blanca",-0.052537576696362,0.0613431285761342,-0.172770108705585,0.067694955312861,"green"
"blanca",0.0127333715940667,0.0674042344937761,-0.119378928013734,0.144845671201868,"wet"
"emanuel",0.0364745224658294,0.0707985386837192,-0.10229061335426,0.175239658285919,"green"
"emanuel",-0.0599759613980823,0.0701301678367356,-0.197431090358084,0.0774791675619194,"wet"
"gala",-0.0669487264258539,0.0562312473472536,-0.177161971226471,0.043264518374763,"green"
"gala",0.226636442380683,0.0576727786069994,0.113597796310964,0.339675088450402,"wet"
"mafalda",-0.225302042309984,0.0864572864630066,-0.394758323777477,-0.0558457608424914,"green"
"mafalda",0.167079051151615,0.0720372067874896,0.0258861258481353,0.308271976455095,"wet"
"mazeboti",0.0844566687561575,0.0658925182149135,-0.044692666945073,0.213606004457388,"green"
"mazeboti",-0.225090795543654,0.0515287913816397,-0.326087226651668,-0.12409436443564,"wet"
"sara",0.0940121728068127,0.160131616946423,-0.219845796408175,0.407870142021801,"green"
"sara",-0.266536240449969,0.144914854888063,-0.550569356030572,0.0174968751306336,"wet"
"tex",0.0759741666851459,0.087009666026278,-0.0945647787263589,0.246513112096651,"green"
"tex",-0.118764512207081,0.0774961346032165,-0.270656936029385,0.0331279116152235,"wet"
